covariate,logrank_chi2,logrank_p,cox_hr,cox_ci_lower,cox_ci_upper,cox_p,n_high,n_low
age_at_diagnosis,34.10561154938508,5.2200512801192644e-09,1.0307231066429934,1.02314019169235,1.0383622217112898,8.881784197001252e-16,246,272
gender,1.8559794882023424,0.17308954300836876,1.1457261183183194,0.9417406280665991,1.3938958340278078,0.1738482631056244,314,204
molecular_subtype,0.12198289833334848,0.726893748315782,1.0916041041278484,0.8486315356704269,1.4041423987471635,0.49504382720574713,375,143
