gene	log2FC	score	pvalue	pvalue_adj
CLIC1	3.0634065	34.93806	1.966096828228304e-267	2.680847217622433e-265
MARCKS	3.110703	34.90801	5.619890447198373e-267	7.626956486251801e-265
RGS10	3.076061	34.90328	6.630334782178413e-267	8.956219044319223e-265
NR4A3	3.7319489	34.666313	2.5366954215715587e-263	3.34832212563329e-261
CEBPB	3.1617424	34.653793	3.916558033124985e-263	5.146179230161088e-261
MS4A7	3.0125284	34.571697	6.729103460034261e-262	8.722788956018402e-260
RPS14	1.3563504	34.482445	1.4704018500921351e-260	1.8975404589559532e-258
FXYD5	3.0860534	34.461857	2.9915971768705946e-260	3.8434710929688125e-258
ATF3	2.8207946	34.420624	1.2393356032607871e-259	1.585197977144229e-257
RPL30	1.390045	34.329163	2.8824045828839807e-258	3.6544591788345276e-256
ARHGDIB	3.0230908	34.279694	1.5754131918872747e-257	1.9886667745801506e-255
C1orf162	2.9795172	34.27067	2.1467075485545648e-257	2.698038048089861e-255
RPL28	1.2475135	34.25275	3.969142254683924e-257	4.966926197235853e-255
RPL37	2.0875907	34.199486	2.4608429664591666e-256	3.0661891220446174e-254
IER3	3.0593514	34.061665	2.7272827259848013e-254	3.340574650849265e-252
HMOX1	2.961361	33.91497	4.007874905598018e-252	4.888423624308941e-250
FCGRT	3.0159235	33.83441	6.153099737700068e-251	7.442161260154638e-249
HLA-DMB	2.949999	33.76761	5.896422586025099e-250	7.101995320592814e-248
MERTK	2.973147	33.655212	2.6157883182773713e-248	3.137534975786057e-246
ARPC3	2.662085	33.587887	2.5210210188152038e-247	3.0113700244169875e-245
RPL8	1.8709177	33.43694	3.98509137565455e-245	4.721190016231397e-243
GRN	2.8025317	33.433277	4.504580431789082e-245	5.314853328233755e-243
ARPC1B	2.9168303	33.411934	9.199156101461151e-245	1.080975631808689e-242
RPL18	1.5136902	33.35288	6.617558225858714e-244	7.744686462951329e-242
DBI	2.345568	33.326614	1.589712018892211e-243	1.8529760213756912e-241
NACA	1.9923061	33.177464	2.2758830984830936e-241	2.621073813858597e-239
CD63	2.5145166	32.750954	2.94269728567713e-235	3.297075598336e-233
C5AR1	2.948565	32.60785	3.174553507366833e-233	3.502550314406604e-231
IL1B	3.1052318	32.546265	2.3646246849009654e-232	2.579403991186121e-230
RPS27A	1.2614194	32.46314	3.5347544426887506e-231	3.79848128902616e-229
NFKBIZ	2.6881173	32.438984	7.746308423219821e-231	8.232446234927034e-229
RPL36	2.1469898	32.421528	1.3651325289734766e-230	1.4402148180670176e-228
BTG1	2.7021482	32.420906	1.3930065467710853e-230	1.4642778271822458e-228
LY86	2.8519974	32.399506	2.788903688777342e-230	2.920972425053863e-228
SCIN	3.279758	32.223904	8.166283841797337e-228	8.400810214051089e-226
RGS1	3.4249585	32.123135	2.0960002466476366e-226	2.1409568597117747e-224
