gene	log2FC	score	pvalue	pvalue_adj
RPS4X	2.5467699	70.73188	0.0	0.0
COX6C	2.9287362	70.32209	0.0	0.0
RPL10	2.0389102	70.23725	0.0	0.0
MT-ND1	2.1749141	70.21364	0.0	0.0
COX6B1	2.892191	70.00084	0.0	0.0
RPS26	2.8094478	69.99784	0.0	0.0
SNRPD2	2.8677416	69.98344	0.0	0.0
RPS3	2.3313172	69.852974	0.0	0.0
EDF1	2.9266465	69.71432	0.0	0.0
SRSF9	2.8493888	69.505875	0.0	0.0
GPI	2.930894	69.44588	0.0	0.0
C9orf16	2.8812294	69.44255	0.0	0.0
METRNL	3.7818768	69.34684	0.0	0.0
RPS28	2.5093606	69.15167	0.0	0.0
GSTP1	2.7893353	68.89423	0.0	0.0
PLIN2	3.070734	68.8074	0.0	0.0
SLC25A6	2.828443	68.70089	0.0	0.0
PSME2	2.9827943	68.66639	0.0	0.0
NDUFS5	2.8497112	68.66437	0.0	0.0
MAFB	2.883256	68.572395	0.0	0.0
OAZ1	2.237665	68.572105	0.0	0.0
RPL35	2.5003626	68.56795	0.0	0.0
ELOB	2.8595483	68.38818	0.0	0.0
SLC3A2	2.841683	68.36233	0.0	0.0
UBA52	2.367261	67.92589	0.0	0.0
JPT1	2.8480732	67.81398	0.0	0.0
APRT	2.8058057	67.41916	0.0	0.0
TYMP	2.930907	67.35134	0.0	0.0
OST4	2.7867398	67.13877	0.0	0.0
TAGLN2	2.7119198	66.95329	0.0	0.0
RPL3	2.231143	66.71434	0.0	0.0
RPL32	2.1266997	66.569695	0.0	0.0
HSPA5	2.7910492	66.51725	0.0	0.0
SSR2	2.7589533	66.458176	0.0	0.0
TGFBI	4.6754336	66.4261	0.0	0.0
UQCRH	2.7538075	66.314896	0.0	0.0
BLOC1S1	2.7547288	66.24141	0.0	0.0
PDIA6	2.788651	66.10722	0.0	0.0
VKORC1	2.8136525	66.0851	0.0	0.0
WDR83OS	2.7583697	65.941	0.0	0.0
PHPT1	2.8287623	65.878716	0.0	0.0
RPS12	2.0700195	65.838486	0.0	0.0
BTG1	2.5866156	65.77605	0.0	0.0
KDELR1	2.7130015	65.70638	0.0	0.0
GRN	2.485604	65.59159	0.0	0.0
IGFBP2	5.561601	65.57088	0.0	0.0
CLIC1	2.6542642	65.43898	0.0	0.0
COPE	2.7186553	65.38696	0.0	0.0
RPL26	2.2372754	65.23077	0.0	0.0
RAN	2.6909106	65.190544	0.0	0.0
GPX4	2.5900335	65.038475	0.0	0.0
RPL41	1.8683094	64.915855	0.0	0.0
MZT2B	2.693305	64.86099	0.0	0.0
COX5B	2.7749093	64.81297	0.0	0.0
CIB1	2.72927	64.68923	0.0	0.0
HIGD2A	2.7071629	64.54353	0.0	0.0
APLP2	2.6685617	64.5014	0.0	0.0
NAMPT	2.694489	64.47741	0.0	0.0
VAMP8	2.6015127	64.42548	0.0	0.0
MT-ND2	2.359349	64.420204	0.0	0.0
RPS9	1.9723424	64.2143	0.0	0.0
MT-CYB	1.9449307	64.11949	0.0	0.0
RHOC	2.7341163	64.07147	0.0	0.0
TRAPPC5	2.6501706	64.02057	0.0	0.0
RPS14	2.0647578	63.998795	0.0	0.0
RPL10A	2.490515	63.89513	0.0	0.0
PARK7	2.6557176	63.794006	0.0	0.0
EMP3	2.7606242	63.73245	0.0	0.0
ARF5	2.6288218	63.731472	0.0	0.0
VEGFB	2.6855648	63.68433	0.0	0.0
FCGBP	3.759015	63.363953	0.0	0.0
PLAUR	2.6762402	63.070805	0.0	0.0
RPLP2	2.2907963	63.027416	0.0	0.0
MT-ND5	2.2943552	62.919247	0.0	0.0
ATP1B3	2.6414123	62.85438	0.0	0.0
ATP5PD	2.6130137	62.73947	0.0	0.0
GSTK1	2.6130562	62.73907	0.0	0.0
DRAP1	2.6045904	62.442425	0.0	0.0
NME1	3.1124237	62.398266	0.0	0.0
H2AFV	2.6009195	62.39432	0.0	0.0
BANF1	2.6007266	62.3192	0.0	0.0
NEDD8	2.5862253	62.2655	0.0	0.0
SUMO2	2.6072066	62.18508	0.0	0.0
HLA-DPB1	2.0286677	62.177326	0.0	0.0
LYZ	3.0771184	62.0781	0.0	0.0
CHI3L1	5.493145	62.00153	0.0	0.0
C19orf53	2.5676346	61.992367	0.0	0.0
SLC25A5	2.5653205	61.801056	0.0	0.0
PSME1	2.5703814	61.740692	0.0	0.0
NOP10	2.551054	61.688263	0.0	0.0
DYNLL1	2.699224	61.607887	0.0	0.0
CD81	1.9239447	61.38465	0.0	0.0
H2AFZ	2.5638187	61.304462	0.0	0.0
PRDX6	2.551285	61.25548	0.0	0.0
TXN	2.539115	61.2465	0.0	0.0
PDIA3	2.5483184	61.070004	0.0	0.0
NDUFA11	2.6089678	61.06742	0.0	0.0
PSMB3	2.5246475	61.043358	0.0	0.0
POLR2L	2.6241665	61.023	0.0	0.0
COX7C	2.6394064	60.946854	0.0	0.0
GNB2	2.5512607	60.888565	0.0	0.0
PRDX2	2.6253915	60.816357	0.0	0.0
HMOX1	2.5150495	60.809757	0.0	0.0
MDH2	2.5224378	60.75446	0.0	0.0
CLU	3.0925741	60.61114	0.0	0.0
RPS16	2.1563635	60.609577	0.0	0.0
DAD1	2.5693328	60.581284	0.0	0.0
LMNA	2.750576	60.549343	0.0	0.0
UQCRQ	2.52286	60.46784	0.0	0.0
SELENOH	2.5541599	60.287804	0.0	0.0
ARHGAP18	3.0608919	60.203537	0.0	0.0
HBEGF	2.8670883	60.154408	0.0	0.0
TRMT112	2.5226276	60.075474	0.0	0.0
TRAPPC1	2.4941885	59.91003	0.0	0.0
NPM1	2.5722785	59.844513	0.0	0.0
RPS3A	2.2379622	59.81589	0.0	0.0
NACA	2.2299774	59.78275	0.0	0.0
ATP5MG	2.543716	59.769073	0.0	0.0
MS4A4A	2.6278455	59.730686	0.0	0.0
ATP5PO	2.5266805	59.664864	0.0	0.0
EEF2	2.2820067	59.60548	0.0	0.0
DSE	2.7168415	59.400963	0.0	0.0
C4orf3	2.4407072	59.365417	0.0	0.0
RAB13	3.0683832	59.35465	0.0	0.0
BRK1	2.531918	59.325073	0.0	0.0
GADD45B	2.5715816	59.302284	0.0	0.0
NDUFC2	2.5080683	59.301437	0.0	0.0
RPL23A	2.2014396	59.228027	0.0	0.0
PRELID1	2.4882982	59.13456	0.0	0.0
KRTCAP2	2.5217032	59.12273	0.0	0.0
MT-ND4L	2.0440311	59.03802	0.0	0.0
SNX3	2.4987934	58.969517	0.0	0.0
RNASEK	2.3259466	58.967953	0.0	0.0
BST2	2.4253528	58.893078	0.0	0.0
MYDGF	2.4535248	58.724094	0.0	0.0
ERGIC3	2.4763913	58.711815	0.0	0.0
POLR2E	2.4703584	58.60523	0.0	0.0
LSM7	2.4736702	58.544113	0.0	0.0
ATP6V0E1	2.4417202	58.505703	0.0	0.0
MT3	2.8147242	58.469376	0.0	0.0
SNHG29	2.5212126	58.324833	0.0	0.0
PTPRZ1	4.3028903	58.253723	0.0	0.0
EIF3H	2.4660172	58.233517	0.0	0.0
EEF1D	2.4564064	58.205917	0.0	0.0
MICOS10	2.4257839	58.16787	0.0	0.0
ATP5PF	2.4446929	58.059303	0.0	0.0
SDCBP	2.4572268	57.973392	0.0	0.0
PRDX4	2.5816665	57.971073	0.0	0.0
SEM1	2.4054139	57.85853	0.0	0.0
PSMD8	2.417805	57.81256	0.0	0.0
CALM3	2.42527	57.770428	0.0	0.0
PSMB6	2.42404	57.75325	0.0	0.0
LAMTOR2	2.5002174	57.75304	0.0	0.0
NUPR1	3.3419888	57.67551	0.0	0.0
PSMB8	2.5386736	57.64303	0.0	0.0
SCAND1	2.3974254	57.455215	0.0	0.0
BTF3	2.3247235	57.29082	0.0	0.0
UBL5	2.4600444	57.231632	0.0	0.0
STAB1	2.5398386	57.146114	0.0	0.0
ZNHIT1	2.4445035	57.137897	0.0	0.0
NDUFB7	2.3965933	57.078876	0.0	0.0
PGAM1	2.373953	56.817062	0.0	0.0
FAU	1.8043596	56.72223	0.0	0.0
LMAN2	2.3842397	56.67155	0.0	0.0
HSBP1	2.3700147	56.669563	0.0	0.0
ATP6V1G1	2.4053526	56.630154	0.0	0.0
ARPC2	2.411333	56.43157	0.0	0.0
BCAP31	2.4203503	56.377045	0.0	0.0
RABAC1	2.3733854	56.31067	0.0	0.0
COX7A2	2.3887289	56.30876	0.0	0.0
RPS6	1.96561	56.24928	0.0	0.0
TOMM6	2.3603694	56.184826	0.0	0.0
PGLS	2.35273	56.0749	0.0	0.0
LAMTOR5	2.336792	56.066414	0.0	0.0
RPS27L	2.3618324	56.027714	0.0	0.0
CIAO2B	2.3471465	55.937386	0.0	0.0
RPS15A	2.1379497	55.92372	0.0	0.0
NDUFS8	2.352451	55.919926	0.0	0.0
RPS23	2.0205107	55.900448	0.0	0.0
RPS4Y1	2.5247183	55.810482	0.0	0.0
RPL22	2.4213734	55.6673	0.0	0.0
FTL	0.78783315	55.613358	0.0	0.0
CANX	2.412636	55.58475	0.0	0.0
SNU13	2.3243012	55.529076	0.0	0.0
S100A11	1.830779	55.509968	0.0	0.0
RPL17	2.1436188	55.371666	0.0	0.0
CD151	2.569829	55.337063	0.0	0.0
PSMA7	2.390444	55.32155	0.0	0.0
CSNK2B	2.3846831	55.218674	0.0	0.0
RNF181	2.3259106	55.212574	0.0	0.0
FXYD5	2.2319086	55.202404	0.0	0.0
RPS24	2.1654758	55.19029	0.0	0.0
TMED9	2.3205183	55.171165	0.0	0.0
RPL24	2.1045628	55.148815	0.0	0.0
GADD45GIP1	2.334684	55.129852	0.0	0.0
ATP5F1E	2.3379953	55.11732	0.0	0.0
MRPS24	2.43828	55.097565	0.0	0.0
PSMB9	2.4337275	55.087997	0.0	0.0
C1QBP	2.3518257	54.986485	0.0	0.0
NDUFB4	2.3092177	54.94637	0.0	0.0
SEPTIN9	2.8251004	54.912056	0.0	0.0
TUFM	2.2988846	54.866608	0.0	0.0
LAP3	2.335341	54.837494	0.0	0.0
RPL27	2.2829802	54.820324	0.0	0.0
RNF7	2.3053036	54.816223	0.0	0.0
ATP5F1B	2.3577096	54.807983	0.0	0.0
SRI	2.268026	54.730816	0.0	0.0
NDUFA6	2.3470933	54.67167	0.0	0.0
NDUFA7	2.4368515	54.622154	0.0	0.0
HSP90B1	2.3065166	54.508553	0.0	0.0
ERH	2.2791889	54.444447	0.0	0.0
GFAP	3.330672	54.383263	0.0	0.0
TRIR	2.3776755	54.328342	0.0	0.0
ARF1	2.373878	54.27525	0.0	0.0
TUBA1C	2.5880747	54.26968	0.0	0.0
C1QA	1.429627	54.23878	0.0	0.0
EIF3I	2.3078246	54.091824	0.0	0.0
AURKAIP1	2.2663589	54.071945	0.0	0.0
VDAC1	2.2743158	54.05488	0.0	0.0
SMS	2.336523	54.043213	0.0	0.0
MICOS13	2.2937007	53.93466	0.0	0.0
CTSZ	2.0823927	53.731834	0.0	0.0
POMP	2.302061	53.658207	0.0	0.0
CAPNS1	2.265964	53.6171	0.0	0.0
C1QB	1.5522519	53.606483	0.0	0.0
YBX3	2.2855313	53.55309	0.0	0.0
TMEM147	2.265829	53.538902	0.0	0.0
