gene	log2FC	score	pvalue	pvalue_adj
RPS16	3.3991838	57.335556	0.0	0.0
RPL22	4.1899776	57.33233	0.0	0.0
RNASEK	4.2699213	57.319187	0.0	0.0
YBX1	4.219726	57.206802	0.0	0.0
HLA-DPA1	4.246372	56.938812	0.0	0.0
PLAUR	4.8353953	56.902744	0.0	0.0
CYBA	4.1319184	56.90058	0.0	0.0
SERF2	3.5861747	56.682816	0.0	0.0
ATF3	4.3717227	56.564274	0.0	0.0
CAPG	4.560008	56.49908	0.0	0.0
NPM1	4.3017335	56.147846	0.0	0.0
NR4A3	5.2107563	56.14247	0.0	0.0
RPL34	3.6665273	55.986954	0.0	0.0
LDHB	4.3163342	55.925903	0.0	0.0
C9orf16	4.47463	55.87786	0.0	0.0
CCL4	5.43026	55.784	0.0	0.0
RPS25	3.1666539	55.615593	0.0	0.0
ATP1B3	4.518865	55.31045	0.0	0.0
TAGLN2	4.4052835	55.281635	0.0	0.0
HLA-DMA	4.3312697	55.14438	0.0	0.0
BHLHE40	5.700162	55.06247	0.0	0.0
ARPC2	4.346089	54.87424	0.0	0.0
VAMP8	4.553691	54.80674	0.0	0.0
NAMPT	4.3352776	54.695034	0.0	0.0
SDCBP	4.2662883	54.60892	0.0	0.0
PGK1	4.2549534	54.518467	0.0	0.0
MT2A	4.4718394	54.40102	0.0	0.0
SEC61B	4.2001295	54.274242	0.0	0.0
TNFAIP3	4.5583663	54.242943	0.0	0.0
MT-CO3	2.3787599	54.092815	0.0	0.0
PLIN2	4.8779583	54.056946	0.0	0.0
ZFP36	3.7790906	54.041973	0.0	0.0
RPL17	3.4272988	53.914207	0.0	0.0
LGALS3	5.9986925	53.62529	0.0	0.0
CD68	4.1940365	53.558064	0.0	0.0
ZNF331	4.5685525	53.431656	0.0	0.0
SSR4	4.1577973	53.386253	0.0	0.0
RPL24	3.4453948	53.362278	0.0	0.0
TUBA1B	4.019399	53.175415	0.0	0.0
RPL23A	3.3340828	53.136864	0.0	0.0
TYROBP	3.7104416	53.120914	0.0	0.0
SAT1	4.425319	53.021816	0.0	0.0
GYPC	4.3100853	52.954983	0.0	0.0
JPT1	4.4703865	52.834816	0.0	0.0
HLA-DRA	4.238668	52.774582	0.0	0.0
MS4A7	4.257884	52.774387	0.0	0.0
ANXA1	5.565516	52.593506	0.0	0.0
MYL12A	4.183267	52.570843	0.0	0.0
MS4A4A	5.091213	52.45369	0.0	0.0
PPP1R15A	4.14999	52.451973	0.0	0.0
EEF1D	4.023931	52.367126	0.0	0.0
UQCRH	4.080339	52.282654	0.0	0.0
SNHG29	4.130173	52.208485	0.0	0.0
BCAP31	4.1043315	52.125187	0.0	0.0
SLC25A5	4.0811224	52.116196	0.0	0.0
RPL35A	3.5660055	52.016342	0.0	0.0
TREM2	4.052363	51.986904	0.0	0.0
GPX4	3.9298365	51.906754	0.0	0.0
ARPC1B	4.147213	51.721306	0.0	0.0
ATP5MC3	4.0054584	51.47188	0.0	0.0
SSR2	4.024567	51.45719	0.0	0.0
BST2	4.255827	51.379406	0.0	0.0
CALR	3.981264	51.376198	0.0	0.0
MSR1	4.3958015	51.297302	0.0	0.0
BTF3	3.8069947	51.292736	0.0	0.0
SLC3A2	4.107459	51.261833	0.0	0.0
RPL37	3.4551873	51.06432	0.0	0.0
MT-ATP6	2.545417	51.061245	0.0	0.0
RPLP2	3.215168	51.024364	0.0	0.0
ALDOA	3.9249456	50.849106	0.0	0.0
HLA-DRB1	3.9924264	50.788425	0.0	0.0
OST4	3.9847255	50.69765	0.0	0.0
CCL4L2	4.858933	50.68985	0.0	0.0
TSPO	3.962667	50.581333	0.0	0.0
BAX	3.994478	50.51098	0.0	0.0
RAB20	4.7182145	50.48796	0.0	0.0
PPP1R14B	4.7722244	50.4041	0.0	0.0
BRK1	3.963865	50.265553	0.0	0.0
CD81	2.9325237	50.237713	0.0	0.0
RPL27	3.7161658	50.047756	0.0	0.0
RPL9	2.972327	50.011917	0.0	0.0
FABP5	4.6885905	49.950455	0.0	0.0
RPS21	3.8624237	49.825447	0.0	0.0
COX5A	3.8846695	49.748108	0.0	0.0
ATP6V0E1	3.9474757	49.660408	0.0	0.0
APRT	3.9784791	49.626766	0.0	0.0
TYMP	4.3764124	49.499443	0.0	0.0
ATP5MG	3.908148	49.401623	0.0	0.0
RPL5	3.3535435	49.3718	0.0	0.0
NR4A1	4.079034	49.37149	0.0	0.0
PSME1	3.9231565	49.308197	0.0	0.0
NDUFB11	3.8604164	49.21614	0.0	0.0
ATP6V0C	3.537531	49.206978	0.0	0.0
SH3BGRL	3.858903	49.117287	0.0	0.0
CTSL	3.7929015	49.023262	0.0	0.0
PDIA3	3.8655834	48.96863	0.0	0.0
P4HB	3.8255165	48.960575	0.0	0.0
ATP5MF	3.8220656	48.894882	0.0	0.0
ARPC3	3.8061602	48.716885	0.0	0.0
PSME2	4.2430334	48.692707	0.0	0.0
VEGFA	5.914807	48.692024	0.0	0.0
AP2S1	3.8044684	48.557583	0.0	0.0
UQCR10	3.7996333	48.415302	0.0	0.0
S100A4	4.5611153	48.35195	0.0	0.0
IFI6	5.046242	48.327007	0.0	0.0
LAPTM4A	3.853454	48.32224	0.0	0.0
CHCHD2	3.7551131	48.310696	0.0	0.0
CFL1	2.8090239	48.172337	0.0	0.0
TPT1	2.282197	48.00167	0.0	0.0
COX6A1	3.761153	47.75366	0.0	0.0
NDUFA4	3.7627187	47.524414	0.0	0.0
GSTK1	3.7513094	47.49637	0.0	0.0
EDF1	3.8147173	47.44357	0.0	0.0
CDKN1A	3.9115183	47.423492	0.0	0.0
KDELR1	3.7141688	47.308563	0.0	0.0
RHOC	3.9866056	47.274357	0.0	0.0
PHLDA1	5.970851	47.24378	0.0	0.0
EIF3F	3.7189076	46.9772	0.0	0.0
YBX3	3.8717506	46.97664	0.0	0.0
PGLS	3.7251735	46.923103	0.0	0.0
GNB2	3.7422714	46.901257	0.0	0.0
PRDX1	3.7785475	46.78913	0.0	0.0
SELENOH	3.7032626	46.7227	0.0	0.0
COX6B1	3.7318623	46.575584	0.0	0.0
FCGR3A	3.8025959	46.56792	0.0	0.0
EEF1B2	3.6349714	46.533974	0.0	0.0
AIF1	3.7307405	46.528107	0.0	0.0
EIF3H	3.660415	46.262783	0.0	0.0
SERP1	3.7486618	46.060894	0.0	0.0
VEGFB	3.7593439	46.053814	0.0	0.0
CTSC	3.7540421	45.98266	0.0	0.0
MYL12B	3.8114512	45.943222	0.0	0.0
ATP5F1D	3.6398163	45.935528	0.0	0.0
FCGRT	3.7978704	45.90697	0.0	0.0
GPNMB	5.33011	45.872955	0.0	0.0
NOP10	3.6435134	45.82862	0.0	0.0
COX7C	3.6810822	45.65164	0.0	0.0
NR4A2	3.6418967	45.6306	0.0	0.0
BCL2A1	4.135653	45.6305	0.0	0.0
IFNGR2	3.6626413	45.543327	0.0	0.0
CD44	4.7278414	45.47829	0.0	0.0
TMED9	3.6326985	45.360268	0.0	0.0
CHCHD10	3.644145	45.288555	0.0	0.0
APLP2	3.583834	45.27504	0.0	0.0
EMP3	3.802626	45.178444	0.0	0.0
ANAPC11	3.5083992	45.086708	0.0	0.0
ZFP36L1	4.3619576	45.06498	0.0	0.0
PSMB8	4.0902166	44.889748	0.0	0.0
TUBB	3.5692616	44.751236	0.0	0.0
MICOS10	3.5031266	44.74472	0.0	0.0
BASP1	3.7517974	44.678364	0.0	0.0
COTL1	3.7681174	44.575363	0.0	0.0
PSMB3	3.488532	44.52035	0.0	0.0
SRP14	3.5987496	44.516098	0.0	0.0
RAN	3.5116527	44.493393	0.0	0.0
SMS	3.9080377	44.415928	0.0	0.0
COPE	3.509997	44.249714	0.0	0.0
CIB1	3.5613735	44.220688	0.0	0.0
PRDX6	3.499159	44.112766	0.0	0.0
GABARAP	2.7079117	44.03093	0.0	0.0
CLEC2B	4.618794	44.02516	0.0	0.0
SEC61G	3.5419867	43.79892	0.0	0.0
