edge	mean_te	std_te	ci_lower	ci_upper	significant
SLC25A37->CST3	0.000000	0.000000	0.000000	0.000000	False
SLC25A37->FCER1G	0.001058	0.001730	0.000000	0.005138	False
SLC25A37->S100A8	0.000089	0.000199	0.000000	0.000702	False
SLC25A37->CD69	0.000000	0.000000	0.000000	0.000000	False
SLC25A37->SMAP2	0.000000	0.000000	0.000000	0.000000	False
SLC25A37->SH3BGRL3	0.000000	0.000000	0.000000	0.000000	False
SLC25A37->ATP5F1E	0.002803	0.002079	0.000000	0.007710	False
SLC25A37->SOD2	0.000000	0.000000	0.000000	0.000000	False
SLC25A37->MYL6	0.000990	0.001511	0.000000	0.004750	False
SLC25A37->TXNIP	0.000047	0.000209	0.000000	0.000458	False
SLC25A37->H3F3A	0.000000	0.000000	0.000000	0.000000	False
SLC25A37->S100A9	0.000000	0.000000	0.000000	0.000000	False
SLC25A37->ARHGDIB	0.000033	0.000182	0.000000	0.000329	False
ATP5F1E->HSPA1A	0.000000	0.000000	0.000000	0.000000	False
ATP5F1E->CCL3L1	0.000927	0.000790	0.000012	0.002909	True
ATP5F1E->HSPA1B	0.000000	0.000000	0.000000	0.000000	False
ATP5F1E->IFITM2	0.000776	0.000936	0.000000	0.003177	False
ATP5F1E->CXCL8	0.000292	0.000429	0.000000	0.001549	False
ATP5F1E->S100A11	0.004048	0.002600	0.000334	0.009615	True
ATP5F1E->CST3	0.000000	0.000000	0.000000	0.000000	False
ATP5F1E->FCER1G	0.000831	0.001552	0.000000	0.004688	False
ATP5F1E->S100A8	0.000079	0.000239	0.000000	0.000797	False
ATP5F1E->CD69	0.000000	0.000000	0.000000	0.000000	False
ATP5F1E->SMAP2	0.000000	0.000000	0.000000	0.000000	False
ATP5F1E->SH3BGRL3	0.000000	0.000000	0.000000	0.000000	False
ATP5F1E->SLC25A37	0.001318	0.001830	0.000009	0.005570	True
ATP5F1E->SOD2	0.000000	0.000000	0.000000	0.000000	False
ATP5F1E->MYL6	0.000852	0.001476	0.000000	0.004428	False
ATP5F1E->TXNIP	0.000465	0.000551	0.000000	0.001493	False
ATP5F1E->H3F3A	0.000000	0.000000	0.000000	0.000000	False
ATP5F1E->S100A9	0.000000	0.000000	0.000000	0.000000	False
ATP5F1E->ARHGDIB	0.000000	0.000000	0.000000	0.000000	False
SOD2->HSPA1A	0.000000	0.000000	0.000000	0.000000	False
SOD2->CCL3L1	0.000770	0.000734	0.000000	0.002666	False
SOD2->HSPA1B	0.000000	0.000000	0.000000	0.000000	False
SOD2->IFITM2	0.000279	0.000543	0.000000	0.001915	False
SOD2->CXCL8	0.000030	0.000129	0.000000	0.000249	False
SOD2->S100A11	0.003833	0.002585	0.000049	0.009529	True
SOD2->CST3	0.000000	0.000000	0.000000	0.000000	False
SOD2->FCER1G	0.000384	0.001030	0.000000	0.003648	False
SOD2->S100A8	0.000004	0.000029	0.000000	0.000000	False
SOD2->CD69	0.000000	0.000000	0.000000	0.000000	False
SOD2->SMAP2	0.000000	0.000000	0.000000	0.000000	False
SOD2->SH3BGRL3	0.000000	0.000000	0.000000	0.000000	False
SOD2->SLC25A37	0.002013	0.002300	0.000015	0.007506	True
SOD2->ATP5F1E	0.000724	0.001238	0.000000	0.004590	False
SOD2->MYL6	0.000467	0.001260	0.000000	0.003702	False
SOD2->TXNIP	0.000159	0.000442	0.000000	0.001554	False
SOD2->H3F3A	0.000000	0.000000	0.000000	0.000000	False
SOD2->S100A9	0.000000	0.000000	0.000000	0.000000	False
SOD2->ARHGDIB	0.000000	0.000000	0.000000	0.000000	False
MYL6->HSPA1A	0.000250	0.001391	0.000000	0.002312	False
MYL6->CCL3L1	0.001782	0.002109	0.000114	0.006135	True
MYL6->HSPA1B	0.000000	0.000000	0.000000	0.000000	False
MYL6->IFITM2	0.001199	0.001050	0.000000	0.003451	False
MYL6->CXCL8	0.000214	0.000381	0.000000	0.001355	False
MYL6->S100A11	0.004070	0.002644	0.000312	0.009994	True
MYL6->CST3	0.000000	0.000000	0.000000	0.000000	False
MYL6->FCER1G	0.000853	0.001511	0.000000	0.004515	False
MYL6->S100A8	0.000046	0.000228	0.000000	0.000309	False
