hour	healthy	periphery	core	necrotic	front_radius	proliferation	transition	necrosis
64.0	1985.0	256006.0	115.0	0.0	350.0528564453125	679.0	401.0	0.0
65.0	1743.0	256851.0	115.0	0.0	354.266845703125	603.0	242.0	0.0
66.0	1622.0	257477.0	115.0	0.0	357.0896301269531	505.0	121.0	0.0
67.0	1581.0	257953.0	115.0	0.0	357.798828125	435.0	41.0	0.0
68.0	1563.0	258357.0	115.0	0.0	358.50384521484375	386.0	18.0	0.0
69.0	1561.0	258663.0	115.0	0.0	358.50384521484375	304.0	2.0	0.0
70.0	1557.0	258940.0	115.0	0.0	358.50384521484375	273.0	4.0	0.0
71.0	1557.0	259179.0	115.0	0.0	358.5093994140625	239.0	0.0	0.0
72.0	1557.0	259371.0	115.0	0.0	358.5093994140625	192.0	0.0	0.0
73.0	1557.0	259521.0	115.0	0.0	358.5093994140625	150.0	0.0	0.0
74.0	1556.0	259654.0	115.0	0.0	359.2102355957031	132.0	1.0	0.0
75.0	1556.0	259775.0	115.0	0.0	359.2102355957031	121.0	0.0	0.0
76.0	1556.0	259883.0	115.0	0.0	359.2102355957031	108.0	0.0	0.0
77.0	1555.0	259963.0	115.0	0.0	359.2102355957031	79.0	1.0	0.0
78.0	1555.0	260044.0	115.0	0.0	359.2102355957031	81.0	0.0	0.0
79.0	1555.0	260106.0	115.0	0.0	359.2102355957031	62.0	0.0	0.0
80.0	1555.0	260161.0	115.0	0.0	359.2102355957031	55.0	0.0	0.0
81.0	1555.0	260202.0	115.0	0.0	359.2102355957031	41.0	0.0	0.0
82.0	1555.0	260242.0	115.0	0.0	359.2102355957031	40.0	0.0	0.0
83.0	1555.0	260262.0	115.0	0.0	359.2102355957031	20.0	0.0	0.0
84.0	1555.0	260287.0	115.0	0.0	359.2102355957031	25.0	0.0	0.0
85.0	1555.0	260307.0	115.0	0.0	359.2102355957031	20.0	0.0	0.0
86.0	1555.0	260325.0	115.0	0.0	359.2102355957031	18.0	0.0	0.0
87.0	1555.0	260345.0	115.0	0.0	359.2102355957031	20.0	0.0	0.0
88.0	1555.0	260353.0	115.0	0.0	359.2102355957031	8.0	0.0	0.0
89.0	1554.0	260365.0	115.0	0.0	359.2102355957031	11.0	1.0	0.0
90.0	1554.0	260370.0	115.0	0.0	359.2102355957031	5.0	0.0	0.0
91.0	1554.0	260376.0	115.0	0.0	359.2102355957031	6.0	0.0	0.0
92.0	1554.0	260380.0	115.0	0.0	359.2102355957031	4.0	0.0	0.0
93.0	1554.0	260389.0	115.0	0.0	359.2102355957031	9.0	0.0	0.0
94.0	1554.0	260397.0	115.0	0.0	359.2102355957031	8.0	0.0	0.0
95.0	1554.0	260402.0	115.0	0.0	359.2102355957031	5.0	0.0	0.0
96.0	1554.0	260408.0	115.0	0.0	359.2102355957031	6.0	0.0	0.0
97.0	1554.0	260413.0	115.0	0.0	359.2102355957031	5.0	0.0	0.0
98.0	1554.0	260418.0	115.0	0.0	359.2102355957031	5.0	0.0	0.0
99.0	1554.0	260422.0	115.0	0.0	359.2102355957031	4.0	0.0	0.0
100.0	1554.0	260423.0	115.0	0.0	359.2102355957031	1.0	0.0	0.0
101.0	1554.0	260427.0	115.0	0.0	359.2102355957031	4.0	0.0	0.0
102.0	1554.0	260434.0	115.0	0.0	359.2102355957031	7.0	0.0	0.0
103.0	1554.0	260435.0	115.0	0.0	359.2102355957031	1.0	0.0	0.0
104.0	1554.0	260438.0	115.0	0.0	359.2102355957031	3.0	0.0	0.0
105.0	1554.0	260439.0	115.0	0.0	359.2102355957031	1.0	0.0	0.0
106.0	1554.0	260440.0	115.0	0.0	359.2102355957031	1.0	0.0	0.0
107.0	1554.0	260442.0	115.0	0.0	359.2102355957031	2.0	0.0	0.0
108.0	1554.0	260443.0	115.0	0.0	359.2102355957031	1.0	0.0	0.0
109.0	1554.0	260444.0	115.0	0.0	359.2102355957031	1.0	0.0	0.0
110.0	1554.0	260445.0	115.0	0.0	359.2102355957031	1.0	0.0	0.0
111.0	1554.0	260445.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
112.0	1554.0	260445.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
113.0	1554.0	260447.0	115.0	0.0	359.2102355957031	2.0	0.0	0.0
114.0	1554.0	260450.0	115.0	0.0	359.2102355957031	3.0	0.0	0.0
115.0	1554.0	260452.0	115.0	0.0	359.2102355957031	2.0	0.0	0.0
116.0	1554.0	260454.0	115.0	0.0	359.2102355957031	2.0	0.0	0.0
117.0	1554.0	260456.0	115.0	0.0	359.2102355957031	2.0	0.0	0.0
118.0	1554.0	260456.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
119.0	1554.0	260456.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
120.0	1554.0	260457.0	115.0	0.0	359.2102355957031	1.0	0.0	0.0
121.0	1554.0	260458.0	115.0	0.0	359.2102355957031	1.0	0.0	0.0
122.0	1554.0	260459.0	115.0	0.0	359.2102355957031	1.0	0.0	0.0
123.0	1554.0	260459.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
124.0	1554.0	260459.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
125.0	1554.0	260459.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
126.0	1554.0	260459.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
127.0	1554.0	260460.0	115.0	0.0	359.2102355957031	1.0	0.0	0.0
128.0	1554.0	260460.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
129.0	1554.0	260460.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
130.0	1554.0	260461.0	115.0	0.0	359.2102355957031	1.0	0.0	0.0
131.0	1554.0	260461.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
132.0	1554.0	260461.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
133.0	1554.0	260461.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
134.0	1554.0	260461.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
135.0	1554.0	260461.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
136.0	1554.0	260461.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
137.0	1554.0	260461.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
138.0	1554.0	260461.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
139.0	1554.0	260461.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
140.0	1554.0	260462.0	115.0	0.0	359.2102355957031	1.0	0.0	0.0
141.0	1554.0	260462.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
142.0	1554.0	260462.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
143.0	1554.0	260462.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
144.0	1554.0	260462.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
145.0	1554.0	260462.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
146.0	1554.0	260462.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
147.0	1554.0	260462.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
148.0	1554.0	260462.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
149.0	1554.0	260462.0	115.0	0.0	359.2102355957031	0.0	0.0	0.0
