gene	log2FC	score	pvalue	pvalue_adj	comparison
COX4I1	2.6651947	75.90387	0.0	0.0	Core_vs_Periphery
AP2S1	3.1066887	75.817245	0.0	0.0	Core_vs_Periphery
ATP5MC2	2.7311563	75.725784	0.0	0.0	Core_vs_Periphery
RPS7	2.5454936	75.647446	0.0	0.0	Core_vs_Periphery
NDUFB2	3.0915706	75.30032	0.0	0.0	Core_vs_Periphery
ZNF331	3.3121972	75.23354	0.0	0.0	Core_vs_Periphery
IFI6	3.789732	75.0275	0.0	0.0	Core_vs_Periphery
PFDN5	2.8106334	74.683754	0.0	0.0	Core_vs_Periphery
CFL1	2.193868	74.5729	0.0	0.0	Core_vs_Periphery
NDUFB11	3.057865	74.563774	0.0	0.0	Core_vs_Periphery
BHLHE40	3.4341779	74.24884	0.0	0.0	Core_vs_Periphery
VIM	10.077982	105.29827	0.0	0.0	Core_vs_Healthy
HLA-A	6.958995	101.148384	0.0	0.0	Core_vs_Healthy
APOE	7.749601	96.141884	0.0	0.0	Core_vs_Healthy
TMSB10	6.174907	92.53561	0.0	0.0	Core_vs_Healthy
APOC1	7.7196846	91.906525	0.0	0.0	Core_vs_Healthy
CST3	7.0017676	91.45877	0.0	0.0	Core_vs_Healthy
RPLP1	3.6930077	89.55945	0.0	0.0	Core_vs_Healthy
HLA-B	6.7767725	89.21826	0.0	0.0	Core_vs_Healthy
RPLP0	5.017253	86.87359	0.0	0.0	Core_vs_Healthy
RPL12	4.877498	86.818436	0.0	0.0	Core_vs_Healthy
RPS18	4.566475	85.386665	0.0	0.0	Core_vs_Healthy
RPL13	3.4452393	84.94569	0.0	0.0	Core_vs_Healthy
RPL7A	4.500236	84.60008	0.0	0.0	Core_vs_Healthy
LGALS1	7.3345394	84.0407	0.0	0.0	Core_vs_Healthy
RPS19	4.2202206	83.797966	0.0	0.0	Core_vs_Healthy
RPS2	4.4204187	83.67215	0.0	0.0	Core_vs_Healthy
HLA-C	6.281154	83.33901	0.0	0.0	Core_vs_Healthy
CD63	5.5048766	83.1819	0.0	0.0	Core_vs_Healthy
NPC2	5.6924787	82.801216	0.0	0.0	Core_vs_Healthy
RPL8	4.4370823	81.94827	0.0	0.0	Core_vs_Healthy
B2M	3.8296483	81.767746	0.0	0.0	Core_vs_Healthy
RACK1	4.963569	81.148674	0.0	0.0	Core_vs_Healthy
NME2	5.9686823	80.206726	0.0	0.0	Core_vs_Healthy
RPS4X	4.807542	79.96806	0.0	0.0	Core_vs_Healthy
RPL28	3.358428	78.9552	0.0	0.0	Core_vs_Healthy
GAPDH	3.481169	78.61261	0.0	0.0	Core_vs_Healthy
RPL29	4.2148376	78.123505	0.0	0.0	Core_vs_Healthy
RPL11	4.0164504	77.39872	0.0	0.0	Core_vs_Healthy
IFI30	6.464834	77.12071	0.0	0.0	Core_vs_Healthy
RPL18A	4.240681	76.57013	0.0	0.0	Core_vs_Healthy
RPL6	4.778675	76.53075	0.0	0.0	Core_vs_Healthy
RPL14	4.7990866	75.70615	0.0	0.0	Core_vs_Healthy
RPS8	3.331617	75.64562	0.0	0.0	Core_vs_Healthy
RPL19	3.3005426	75.096436	0.0	0.0	Core_vs_Healthy
EEF1A1	2.334928	74.34407	0.0	0.0	Core_vs_Healthy
RPS15	3.4024844	73.780136	0.0	0.0	Core_vs_Healthy
RPL32	3.4846897	73.65281	0.0	0.0	Core_vs_Healthy
RPL10	2.7884004	73.3179	0.0	0.0	Core_vs_Healthy
RPS13	3.865584	73.18609	0.0	0.0	Core_vs_Healthy
TMSB4X	2.6123426	72.70401	0.0	0.0	Core_vs_Healthy
LDHA	5.784972	72.591736	0.0	0.0	Core_vs_Healthy
RPS7	4.2571526	72.47892	0.0	0.0	Core_vs_Healthy
RPS3A	4.006414	72.468765	0.0	0.0	Core_vs_Healthy
FTL	2.0355425	72.33337	0.0	0.0	Core_vs_Healthy
MTRNR2L12	7.432843	71.565094	0.0	0.0	Core_vs_Healthy
RPL3	3.7090712	71.394646	0.0	0.0	Core_vs_Healthy
HSPB1	6.0862436	71.32832	0.0	0.0	Core_vs_Healthy
RPL41	2.9538002	69.816	0.0	0.0	Core_vs_Healthy
ANXA5	5.248864	69.800156	0.0	0.0	Core_vs_Healthy
RPS12	3.2156074	69.60994	0.0	0.0	Core_vs_Healthy
PKM	5.298619	69.03357	0.0	0.0	Core_vs_Healthy
RPL18	3.4693713	68.75942	0.0	0.0	Core_vs_Healthy
RPL36	4.440772	68.508446	0.0	0.0	Core_vs_Healthy
GNG5	5.297734	68.44586	0.0	0.0	Core_vs_Healthy
IFITM3	5.7152214	68.359314	0.0	0.0	Core_vs_Healthy
RPL26	3.676178	68.15993	0.0	0.0	Core_vs_Healthy
GADD45B	5.195992	68.01111	0.0	0.0	Core_vs_Healthy
S100A6	5.80382	67.93046	0.0	0.0	Core_vs_Healthy
RPS24	4.0354104	67.71742	0.0	0.0	Core_vs_Healthy
